"OTUID","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_4170","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_Incertae_Sedis","Rhizomicrobium","Rhizomicrobium_X"
"ASV_1307","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Crossiella","Crossiella_X"
"ASV_6775","Bacteria","Chloroflexi","JG37-AG-4","JG37-AG-4_X","JG37-AG-4_X_X","JG37-AG-4_X_X_X","JG37-AG-4_X_X_X_X"
"ASV_2136","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Arthrobacter","Arthrobacter_X"
"ASV_7048","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Pelagibacterium","Pelagibacterium_X"
"ASV_6895","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Pseudonocardiaceae_X","Pseudonocardiaceae_X_X"
"ASV_2578","Bacteria","Acidobacteria","Acidobacteria","Acidobacteriales","Acidobacteriaceae_[Subgroup_1]","Acidobacteriaceae_[Subgroup_1]_X","Acidobacteriaceae_[Subgroup_1]_X_X"
"ASV_8035","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadales_Incertae_Sedis","Steroidobacter","Steroidobacter_X"
"ASV_4833","Bacteria","Acidobacteria","Acidobacteria","Acidobacteriales","Acidobacteriaceae_[Subgroup_1]","Acidobacteriaceae_[Subgroup_1]_X","Acidobacteriaceae_[Subgroup_1]_X_X"
"ASV_4874","Bacteria","Chloroflexi","Ktedonobacteria","JG30-KF-AS9","JG30-KF-AS9_X","JG30-KF-AS9_X_X","JG30-KF-AS9_X_X_X"
"ASV_1302","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium","Sphingobium_X"
"ASV_5638","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium","Mycobacterium_X"
"ASV_3679","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Arenimonas","Arenimonas_X"
"ASV_1299","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Acidothermaceae","Acidothermus","Acidothermus_X"
"ASV_3339","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Rhodospirillaceae_X","Rhodospirillaceae_X_X"
"ASV_2609","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Sinomonas","Sinomonas_X"
"ASV_1311","Bacteria","Chloroflexi","Ktedonobacteria","B12-WMSP1","B12-WMSP1_X","B12-WMSP1_X_X","B12-WMSP1_X_X_X"
"ASV_5863","Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","FCPS473","FCPS473_X","FCPS473_X_X"
"ASV_2138","Bacteria","Acidobacteria","Acidobacteria","Acidobacteriales","Acidobacteriaceae_[Subgroup_1]","Acidobacteriaceae_[Subgroup_1]_X","Acidobacteriaceae_[Subgroup_1]_X_X"
"ASV_6526","Bacteria","Actinobacteria","Actinobacteria","Catenulisporales","Catenulisporaceae","Catenulispora","Catenulispora_X"
"ASV_1518","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ensifer","Ensifer_adhaerens"
"ASV_7323","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_Incertae_Sedis","Bauldia","Bauldia_X"
"ASV_3947","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys","Pseudolabrys_X"
"ASV_2375","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas_X"
"ASV_6782","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhodobiaceae","Rhodobiaceae_X","Rhodobiaceae_X_X"
"ASV_816","Bacteria","Bacteria_X","Bacteria_X_X","Bacteria_X_X_X","Bacteria_X_X_X_X","Bacteria_X_X_X_X_X","Bacteria_X_X_X_X_X_X"
"ASV_1118","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Intrasporangiaceae","Intrasporangiaceae_X","Intrasporangiaceae_X_X"
"ASV_8001","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Geodermatophilaceae","Geodermatophilaceae_X","Geodermatophilaceae_X_X"
"ASV_8468","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium","Mycobacterium_X"
"ASV_1256","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces_X"
"ASV_1363","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Salinibacterium","Clavibacter_sp._AP29"
"ASV_5462","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonadaceae_X","Gemmatimonadaceae_X_X"
"ASV_2429","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","480-2","480-2_X","480-2_X_X"
"ASV_7548","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Micromonosporaceae_X","Micromonosporaceae_X_X"
"ASV_5154","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Mesorhizobium","Mesorhizobium_X"
"ASV_4168","Bacteria","Acidobacteria","Acidobacteria","Subgroup_6","Subgroup_6_X","Subgroup_6_X_X","Subgroup_6_X_X_X"
"ASV_6993","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","YNPFFP1","YNPFFP1_X","YNPFFP1_X_X"
"ASV_1219","Bacteria","Chloroflexi","JG37-AG-4","JG37-AG-4_X","JG37-AG-4_X_X","JG37-AG-4_X_X_X","JG37-AG-4_X_X_X_X"
"ASV_980","Bacteria","Chloroflexi","JG37-AG-4","JG37-AG-4_X","JG37-AG-4_X_X","JG37-AG-4_X_X_X","JG37-AG-4_X_X_X_X"
"ASV_7751","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter","Solirubrobacter_X"
"ASV_6403","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae","Roseiflexus","Roseiflexus_X"
"ASV_6065","Bacteria","Chloroflexi","Thermomicrobia","AKYG1722","AKYG1722_X","AKYG1722_X_X","AKYG1722_X_X_X"
"ASV_2211","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","0319-6A21","0319-6A21_X","0319-6A21_X_X"
"ASV_7949","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","Massilia_X"
"ASV_3431","Bacteria","Chloroflexi","KD4-96","KD4-96_X","KD4-96_X_X","KD4-96_X_X_X","KD4-96_X_X_X_X"
"ASV_1840","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Rhodospirillaceae_X","Rhodospirillaceae_X_X"
"ASV_4682","Bacteria","Acidobacteria","Acidobacteria","Subgroup_6","Subgroup_6_X","Subgroup_6_X_X","Subgroup_6_X_X_X"
"ASV_7382","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces_X"
"ASV_2822","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","Nitrosomonadaceae_X","Nitrosomonadaceae_X_X"
"ASV_2754","Bacteria","Chloroflexi","Ktedonobacteria","JG30-KF-AS9","JG30-KF-AS9_X","JG30-KF-AS9_X_X","JG30-KF-AS9_X_X_X"
"ASV_5131","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Dongia","bacterium_Ellin328"
"ASV_804","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","Anaerolineaceae_X","Anaerolineaceae_X_X"
"ASV_7603","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_X","Rhizobiales_X_X","Rhizobiales_X_X_X"
"ASV_3450","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Variibacter","Variibacter_X"
"ASV_1380","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Mesorhizobium","Mesorhizobium_X"
"ASV_2761","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas_X"
"ASV_1455","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Rhodanobacter","Rhodanobacter_X"
"ASV_5940","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Micromonosporaceae_X","Micromonosporaceae_X_X"
"ASV_4070","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Xanthobacteraceae_X","Xanthobacteraceae_X_X"
"ASV_837","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae","Roseiflexus","Roseiflexus_X"
"ASV_4165","Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","HSB_OF53-F07","HSB_OF53-F07_X","HSB_OF53-F07_X_X"
"ASV_2396","Bacteria","Chloroflexi","KD4-96","KD4-96_X","KD4-96_X_X","KD4-96_X_X_X","KD4-96_X_X_X_X"
"ASV_2402","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","0319-6A21","0319-6A21_X","0319-6A21_X_X"
"ASV_4488","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas_X"
"ASV_4068","Bacteria","Acidobacteria","Acidobacteria","Subgroup_3","Unknown_Family","Bryobacter","Bryobacter_X"
"ASV_1393","Bacteria","Saccharibacteria","Saccharibacteria_X","Saccharibacteria_X_X","Saccharibacteria_X_X_X","Saccharibacteria_X_X_X_X","Saccharibacteria_X_X_X_X_X"
"ASV_1629","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadales_X","Xanthomonadales_X_X","Xanthomonadales_X_X_X"
"ASV_6471","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonadaceae_X","Gemmatimonadaceae_X_X"
"ASV_6859","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Arenimonas","Arenimonas_X"
"ASV_1631","Bacteria","Chloroflexi","Ktedonobacteria","JG30-KF-AS9","JG30-KF-AS9_X","JG30-KF-AS9_X_X","JG30-KF-AS9_X_X_X"
"ASV_4405","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_X","Gammaproteobacteria_X_X","Gammaproteobacteria_X_X_X","Gammaproteobacteria_X_X_X_X"
"ASV_4456","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonadaceae_X","Gemmatimonadaceae_X_X"
"ASV_6835","Bacteria","Chloroflexi","JG37-AG-4","JG37-AG-4_X","JG37-AG-4_X_X","JG37-AG-4_X_X_X","JG37-AG-4_X_X_X_X"
"ASV_5432","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Xanthobacteraceae_X","Xanthobacteraceae_X_X"
"ASV_784","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Crossiella","Crossiella_X"
"ASV_7229","Bacteria","Chloroflexi","S085","S085_X","S085_X_X","S085_X_X_X","S085_X_X_X_X"
"ASV_848","Bacteria","Chloroflexi","JG37-AG-4","JG37-AG-4_X","JG37-AG-4_X_X","JG37-AG-4_X_X_X","JG37-AG-4_X_X_X_X"
"ASV_2812","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae","Roseiflexus","Roseiflexus_X"
"ASV_6079","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Micromonosporaceae_X","Micromonosporaceae_X_X"
"ASV_6592","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acetobacteraceae_X","Acetobacteraceae_X_X"
"ASV_2606","Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","FCPS473","FCPS473_X","FCPS473_X_X"
"ASV_6784","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium","Mycobacterium_sp._P224"
"ASV_4703","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter","Solirubrobacter_X"
"ASV_5532","Bacteria","Chloroflexi","Thermomicrobia","JG30-KF-CM45","JG30-KF-CM45_X","JG30-KF-CM45_X_X","JG30-KF-CM45_X_X_X"
"ASV_3910","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","Nocardioides_X"
"ASV_1499","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium","Agrobacterium_tumefaciens"
"ASV_2845","Bacteria","Chloroflexi","JG37-AG-4","JG37-AG-4_X","JG37-AG-4_X_X","JG37-AG-4_X_X_X","JG37-AG-4_X_X_X_X"
"ASV_5239","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Variibacter","Variibacter_X"
"ASV_6814","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Dactylosporangium","Dactylosporangium_X"
"ASV_6749","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","DA111","DA111_X","DA111_X_X"
"ASV_2734","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces_X"
"ASV_2657","Bacteria","Chloroflexi","JG37-AG-4","JG37-AG-4_X","JG37-AG-4_X_X","JG37-AG-4_X_X_X","JG37-AG-4_X_X_X_X"
"ASV_1427","Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","FCPS473","FCPS473_X","FCPS473_X_X"
"ASV_909","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus","Rhodococcus_sp._SH22"
"ASV_2206","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_Incertae_Sedis","Nordella","Nordella_X"
"ASV_5414","Bacteria","Actinobacteria","Actinobacteria","Streptosporangiales","Streptosporangiaceae","Nonomuraea","Nonomuraea_sp._PN4225"
"ASV_2779","Bacteria","Actinobacteria","Actinobacteria","Streptosporangiales","Streptosporangiaceae","Microbispora","Microbispora_X"
"ASV_7667","Bacteria","Acidobacteria","Acidobacteria","Subgroup_3","Unknown_Family","Candidatus_Solibacter","Candidatus_Solibacter_X"
"ASV_1165","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Acidothermaceae","Acidothermus","Acidothermus_X"
"ASV_4796","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Mizugakiibacter","Mizugakiibacter_X"
"ASV_926","Bacteria","Chloroflexi","JG37-AG-4","JG37-AG-4_X","JG37-AG-4_X_X","JG37-AG-4_X_X_X","JG37-AG-4_X_X_X_X"
"ASV_4642","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Nitrospira","Nitrospira_X"
"ASV_5937","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Xanthobacteraceae_X","Xanthobacteraceae_X_X"
"ASV_5456","Bacteria","Chloroflexi","Ktedonobacteria","JG30-KF-AS9","JG30-KF-AS9_X","JG30-KF-AS9_X_X","JG30-KF-AS9_X_X_X"
"ASV_8668","Bacteria","Acidobacteria","Acidobacteria","Subgroup_4","Unknown_Family","Blastocatella","Blastocatella_X"
"ASV_1088","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Mesorhizobium","Mesorhizobium_X"
"ASV_4622","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellales_X","Gaiellales_X_X","Gaiellales_X_X_X"
"ASV_6525","Bacteria","Actinobacteria","Actinobacteria","Catenulisporales","Catenulisporaceae","Catenulispora","Catenulispora_X"
"ASV_1409","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Mesorhizobium","Mesorhizobium_X"
"ASV_5078","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter","Lysobacter_X"
"ASV_6768","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","YNPFFP1","YNPFFP1_X","YNPFFP1_X_X"
"ASV_4112","Bacteria","Acidobacteria","Acidobacteria","Acidobacteriales","Acidobacteriaceae_[Subgroup_1]","Acidobacteriaceae_[Subgroup_1]_X","Acidobacteriaceae_[Subgroup_1]_X_X"
"ASV_2768","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadales_Incertae_Sedis","Acidibacter","Acidibacter_X"
"ASV_7886","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas_X"
"ASV_994","Bacteria","Chloroflexi","Thermomicrobia","JG30-KF-CM45","JG30-KF-CM45_X","JG30-KF-CM45_X_X","JG30-KF-CM45_X_X_X"
"ASV_5382","Bacteria","Actinobacteria","Actinobacteria","Catenulisporales","Catenulisporaceae","Catenulispora","Catenulispora_X"
"ASV_3115","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Acidothermaceae","Acidothermus","Acidothermus_X"
"ASV_6365","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces_X"
"ASV_1003","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae","Roseiflexus","Roseiflexus_X"
"ASV_1553","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acetobacteraceae_X","Acetobacteraceae_X_X"
"ASV_7657","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Cytophagaceae_X","Cytophagaceae_X_X"
