con_crop,season,max,mean,se,sd
Y11,Spring,5.45,5.28,0.037583241,0.150332964
Y11,Summer,5.63,4.98,0.120467838,0.481871352
Y2,Spring,4,3.8625,0.029747199,0.118988795
Y2,Summer,3.91,3.63,0.047214052,0.188856206
