con_crop,season,pH
Y11,Spring,5.45
Y11,Spring,5.36
Y11,Spring,5.18
Y11,Spring,5.13
Y11,Summer,5.63
Y11,Summer,4.59
Y11,Summer,5.06
Y11,Summer,4.64
Y2,Spring,4
Y2,Spring,3.92
Y2,Spring,3.79
Y2,Spring,3.74
Y2,Summer,3.5
Y2,Summer,3.57
Y2,Summer,3.91
Y2,Summer,3.54
